Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Student ID_category,Well versed with the subject_category,Explains concepts in an understandable way_category,Use of presentations_category,Degree of difficulty of assignments_category,Solves doubts willingly_category,Structuring of the course_category,Provides support for students going above and beyond_category,Course recommendation based on relevance_category
0,340,5,2,7,6,9,2,1,8,High,Medium,Low,Medium,Medium,High,Low,Low,High
1,253,6,5,8,6,2,1,2,9,High,Medium,Medium,High,Medium,Low,Low,Low,High
2,680,7,7,6,5,4,2,3,1,High,Medium,Medium,Medium,Medium,Low,Low,Low,Low
3,806,9,6,7,1,5,9,4,6,High,High,Medium,Medium,Low,Medium,High,Low,Medium
4,632,8,10,8,4,6,6,9,9,High,High,High,High,Low,Medium,Medium,High,High
5,832,7,2,7,8,3,5,1,4,High,Medium,Low,Medium,High,Low,Medium,Low,Low
6,772,9,3,5,2,10,3,8,1,High,High,Low,Medium,Low,High,Low,High,Low
7,961,9,8,7,4,4,3,3,10,High,High,High,Medium,Low,Low,Low,Low,High
8,814,6,5,8,6,4,4,7,9,High,Medium,Medium,High,Medium,Low,Low,Medium,High
9,863,5,9,4,7,9,4,4,5,High,Medium,High,Low,Medium,High,Low,Low,Medium
10,576,10,3,8,6,6,3,6,9,High,High,Low,High,Medium,Medium,Low,Medium,High
11,702,8,4,7,1,2,1,8,8,High,High,Low,Medium,Low,Low,Low,High,High
12,541,5,4,4,2,2,7,8,1,High,Medium,Low,Low,Low,Low,Medium,High,Low
13,552,5,6,7,2,7,4,4,2,High,Medium,Medium,Medium,Low,Medium,Low,Low,Low
14,510,6,7,8,3,4,7,7,6,High,Medium,Medium,High,Low,Low,Medium,Medium,Medium
15,159,7,7,6,6,3,9,3,1,High,Medium,Medium,Medium,Medium,Low,High,Low,Low
16,223,9,10,4,5,7,10,10,6,High,High,High,Low,Medium,Medium,High,High,Medium
17,807,8,3,4,2,2,4,6,1,High,High,Low,Low,Low,Low,Low,Medium,Low
18,525,9,9,4,3,5,5,9,2,High,High,High,Low,Low,Medium,Medium,High,Low
19,799,5,6,5,4,2,1,1,7,High,Medium,Medium,Medium,Low,Low,Low,Low,Medium
20,24,9,10,6,10,2,10,1,9,High,High,High,Medium,High,Low,High,Low,High
21,509,8,2,7,5,2,3,4,4,High,High,Low,Medium,Medium,Low,Low,Low,Low
22,797,9,10,4,10,9,2,10,7,High,High,High,Low,High,High,Low,High,Medium
23,418,8,8,6,7,9,5,2,8,High,High,High,Medium,Medium,High,Medium,Low,High
24,48,5,5,4,2,1,10,10,9,High,Medium,Medium,Low,Low,Low,High,High,High
25,657,9,5,7,3,2,8,10,6,High,High,Medium,Medium,Low,Low,High,High,Medium
26,864,9,8,5,2,3,9,2,8,High,High,High,Medium,Low,Low,High,Low,High
27,861,5,6,4,5,4,4,6,6,High,Medium,Medium,Low,Medium,Low,Low,Medium,Medium
28,118,9,10,7,7,4,6,9,1,High,High,High,Medium,Medium,Low,Medium,High,Low
29,387,7,3,8,1,6,8,6,8,High,Medium,Low,High,Low,Medium,High,Medium,High
30,282,5,6,7,3,8,1,1,9,High,Medium,Medium,Medium,Low,High,Low,Low,High
31,503,8,6,6,3,3,6,4,10,High,High,Medium,Medium,Low,Low,Medium,Low,High
32,934,5,6,4,6,10,3,4,10,High,Medium,Medium,Low,Medium,High,Low,Low,High
33,781,8,3,4,5,1,8,10,5,High,High,Low,Low,Medium,Low,High,High,Medium
34,898,10,10,4,3,5,4,2,1,High,High,High,Low,Low,Medium,Low,Low,Low
35,474,8,3,7,6,4,3,7,7,High,High,Low,Medium,Medium,Low,Low,Medium,Medium
36,704,9,9,8,6,8,4,8,5,High,High,High,High,Medium,High,Low,High,Medium
37,977,9,5,4,4,6,3,1,9,High,High,Medium,Low,Low,Medium,Low,Low,High
38,454,9,6,6,1,10,8,10,7,High,High,Medium,Medium,Low,High,High,High,Medium
39,295,5,7,6,3,1,7,2,9,High,Medium,Medium,Medium,Low,Low,Medium,Low,High
40,35,10,6,4,5,6,2,3,1,High,High,Medium,Low,Medium,Medium,Low,Low,Low
41,304,9,9,4,6,5,1,7,2,High,High,High,Low,Medium,Medium,Low,Medium,Low
42,56,6,9,6,8,9,6,2,4,High,Medium,High,Medium,High,High,Medium,Low,Low
43,922,8,10,7,4,5,9,3,5,High,High,High,Medium,Low,Medium,High,Low,Medium
44,569,10,7,6,9,2,6,2,5,High,High,Medium,Medium,High,Low,Medium,Low,Medium
45,186,6,4,4,4,6,9,10,10,High,Medium,Low,Low,Low,Medium,High,High,High
46,258,7,2,7,2,7,2,6,10,High,Medium,Low,Medium,Low,Medium,Low,Medium,High
47,560,8,7,8,3,8,7,4,8,High,High,Medium,High,Low,High,Medium,Low,High
